DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;
MOURA DUBEUX;NM;Incorporações;Itaú BBA;IPO;ICVM 400;11/2/2020;19.00;13/02/20; 4678 ; 4948 ; 1104867005 ; - ; 1104867005 ;10%;59%;31%;0%
PRINER;NM;Serviços Diversos;XP Investimentos;IPO;ICVM 400;13/2/2020;10.00;17/02/20; 9671 ; 9909 ; 173913040 ; 26086950 ; 199999990 ;38%;57%;3%;3%
ESTAPAR;NM;Serviços Diversos;BTG Pactual;IPO;ICVM 400;13/5/2020;10.50;15/05/20; 1104 ; 1178 ; 300300000 ; - ; 300300000 ;10%;44%;6%;40%
CENTAURO;NM;Produtos Diversos;Bradesco BBI;FOLLOW-ON;ICVM 476;26/5/2020;30.00;08/06/20; 344 ; 770 ; 900000000 ; - ; 900000000 ;0%;68%;32%;1%
VIAVAREJO;NM;Eletrodomésticos;Bradesco BBI;FOLLOW-ON;ICVM 476;15/6/2020;15.00;17/06/20; - ; 14556 ; 4455000000 ; - ; 4455000000 ;0%;41%;28%;31%
BTGP BANCO;N2;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;29/6/2020;24.80;01/07/20; - ; 2556 ; 2650500000 ; - ; 2650500000 ;0%;48%;12%;40%
AURA 360;BDR;Minerais Metálicos;Credit Suisse;IPO;ICVM 476;2/7/2020;820.00;06/07/20; - ; 120 ; 301753440 ; 560739780 ; 862493220 ;0%;81%;18%;0%
JHSF PART;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;15/7/2020;9.75;17/07/20; - ; 2687 ; 399750000 ; 33422513 ; 433172513 ;0%;84%;11%;5%
LOJAS AMERIC 4 ;N1;Produtos Diversos;BTG Pactual;FOLLOW-ON;ICVM 476;14/7/2020;32.40;16/07/20; - ; 2073 ; 7873740000 ; - ; 7873740000 ;0%;35%;18%;46%
AMBIPAR;NM;Água e Saneamento;Bradesco BBI;IPO;ICVM 400;9/7/2020;24.75;13/07/20; 5287 ; 5798 ; 1082400017 ; - ; 1082400017 ;10%;60%;30%;0%
IMC S/A;NM;Restaurante e Similares;BTG Pactual;FOLLOW-ON;ICVM 476;21/7/2020;4.25;23/07/20; - ; 1766 ; 384412500 ; - ; 384412500 ;0%;71%;9%;19%
IRANI;BÁSICO;Papel e Celulose;BTG Pactual;FOLLOW-ON;ICVM 476;22/7/2020;4.50;24/07/20; - ; 105 ; 405000000 ; - ; 405000000 ;0%;76%;23%;0%
DIMED;BÁSICO;Medicamentos e Outros Produtos;Bradesco BBI;FOLLOW-ON;ICVM 476;22/7/2020;30.00;24/07/20; - ; 809 ; 480000000 ; 556713360 ; 1036713360 ;0%;56%;41%;3%
GRUPO SOMA;NM;Tecidos Vestuário e Calçados;Itaú BBA;IPO;ICVM 400;29/7/2020;9.90;31/07/20; 6726 ; 7229 ; 1349999996 ; 472499993 ; 1822499989 ;13%;72%;15%;0%
D1000VFARMA;NM;Medicamentos e Outros Produtos;XP Investimentos;IPO;ICVM 400;6/8/2020;17.00;10/08/20; 6213 ; 6526 ; 400115485 ; - ; 400115485 ;32%;59%;7%;2%
QUERO-QUERO;NM;Produtos Diversos;BTG Pactual;IPO;ICVM 400;6/8/2020;12.65;10/08/20; 10049 ; 10844 ; 279867259 ; 1951899023 ; 2231766282 ;10%;55%;35%;0%
RUMO SA;NM;Transporte Ferroviário;Bradesco BBI;FOLLOW-ON;ICVM 476;24/8/2020;21.75;26/08/20; - ; 2532 ; 6400000010 ; - ; 6400000010 ;0%;18%;17%;65%
BANCO INTER;N2;Bancos;Bradesco BBI;FOLLOW-ON;ICVM 476;3/9/2020;20.83;08/09/20; - ; 802 ; 1166248787 ; - ; 1166248787 ;0%;44%;23%;33%
OMEGA GER;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;1/9/2020;38.25;03/09/20; 141 ; 382 ; 896963533 ; - ; 896963533 ;0%;61%;38%;1%
LAVVI;NM;Incorporações;BTG Pactual;IPO;ICVM 400;31/8/2020;9.50;02/09/20; 1392 ; 1633 ; 1027064000 ; - ; 1027064000 ;15%;71%;13%;0%
PAGUE MENOS;NM;Medicamentos e Outros Produtos;Itaú BBA;IPO;ICVM 400;31/8/2020;8.50;02/09/20; 10193 ; 10569 ; 858963097 ; - ; 858963097 ;10%;29%;48%;14%
BANCO PAN;N1;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;27/8/2020;8.30;31/08/20; - ; 46 ; - ; 743677220 ; 743677220 ;0%;29%;25%;47%
PETZ;NM;Produtos Diversos;Itaú BBA;IPO;ICVM 400;9/11/2020;13.75;11/09/20; 37928 ; 39168 ; 336734695 ; 2693877533 ; 3030612228 ;13%;59%;28%;1%
PLANOEPLANO;NM;Incorporações;Itaú BBA;IPO;ICVM 400;15/9/2020;9.40;17/09/20; 613 ; 708 ; 40006400 ; 593415420 ; 633421820 ;6%;80%;13%;0%
JSL;NM;Transporte Rodoviário;XP Investimentos;FOLLOW-ON;ICVM 476;8/9/2020;9.60;10/09/20; 1819 ; 2144 ; 763020845 ; - ; 763020845 ;1%;39%;48%;11%
SANTOS BRP;NM;Serviços de Apoio e Armazenagem;BTG Pactual;FOLLOW-ON;ICVM 476;24/9/2020;4.10;28/09/20; - ; 2244 ; 789988000 ; - ; 789988000 ;0%;81%;9%;9%
MELNICK;NM;Incorporações;BTG Pactual;IPO;ICVM 400;24/9/2020;8.50;28/09/20; 2034 ; 2237 ; 620500000 ; 27324950 ; 647824950 ;10%;59%;30%;1%
HIDROVIAS;NM;Transporte Hidroviário;Bank of America;IPO;ICVM 400;23/9/2020;7.56;25/09/20; 2999 ; 3359 ; - ; 3019664869 ; 3019664869 ;12%;52%;36%;0%
CURY S/A;NM;Incorporações;BTG Pactual;IPO;ICVM 400;17/9/2020;9.35;21/09/20; 1140 ; 1377 ; 169999998 ; 807499997 ; 977499995 ;10%;79%;11%;0%
BOA VISTA;NM;Serviços Financeiros Diversos;JP Morgan;IPO;ICVM 400;28/9/2020;12.20;30/09/20; 1510 ; 1898 ; 1299676492 ; 870065582 ; 2169742074 ;10%;28%;62%;0%
SUZANO;NM;Papel e Celulose;JP Morgan;FOLLOW-ON;ICVM 400;1/10/2020;46.00;05/10/20; 1355 ; 1946 ; - ; 6910001550 ; 6910001550 ;5%;43%;52%;1%
SEQUOIA LOG;NM;Serviços Diversos;BTG Pactual;IPO;ICVM 400;5/10/2020;12.40;07/10/20; 572 ; 705 ; 348070170 ; 557787687 ; 905857857 ;4%;27%;69%;0%
GRUPO MATEUS;NM;Alimentos;XP Investimentos;IPO;ICVM 400;8/10/2020;8.97;13/10/20; 16162 ; 17115 ; 3099286441 ; 1062364462 ; 4161650902 ;10%;61%;27%;1%
GRUPO NATURA;NM;Produtos de Uso Pessoal;Morgan Stanley;FOLLOW-ON;ICVM 476;8/10/2020;46.25;13/10/20; - ; 1635 ; 5614750000 ; - ; 5614750000 ;0%;37%;10%;32%
TRACK FIELD;N2;Vestuário;BTG Pactual;IPO;ICVM 400;22/10/2020;9.25;26/10/20; 1267 ; 1422 ; 182391500 ; 309825050 ; 492216550 ;7%;68%;24%;1%
MELIUZ;NM;Programas e Serviços;Itaú BBA;IPO;ICVM 400;3/11/2020;10.00;04/11/20; 1066 ; 1256 ; 334677510 ; 294718120 ; 629395630 ;10%;63%;26%;1%
ENJOEI;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;5/11/2020;10.25;06/11/20; 1221 ; 1447 ; 470833750 ; 515883761 ; 986717511 ;11%;71%;18%;0%
AURA 360;BDR;Minerais Metálicos;XP Investimentos;FOLLOW-ON;ICVM 400;6/11/2020;48.50;09/11/20; 543 ; 580 ; - ; 87300000 ; 87300000 ;14%;77%;0%;9%
AERIS;NM;Máq e Equip Industriais;BTG Pactual;IPO;ICVM 400;9/11/2020;5.55;10/11/20; 1161 ; 1330 ; 834634608 ; 294576884 ; 1129211492 ;3%;30%;66%;0%
3R PETROLEUM;NM;Exploração Refino e Distribuição;XP Investimentos;IPO;ICVM 400;9/11/2020;21.00;10/11/20; 1412 ; 1516 ; 690000003 ; - ; 690000003 ;8%;57%;17%;18%
BK BRASIL;NM;Restaurante e Similares;Itaú BBA;FOLLOW-ON;ICVM 476;17/11/2020;10.80;19/11/20; 324 ; 505 ; 510300000 ; - ; 510300000 ;0%;42%;51%;7%
ANIMA;NM;Serviços Educacionais;Bradesco BBI;FOLLOW-ON;ICVM 476;3/12/2020;34.00;07/12/20; - ; 297 ; 918000000 ; - ; 918000000 ;0%;45%;12%;43%
INTERMEDICA;NM;ServMédHospitAnálises e Diagnósticos;Itaú  BBA;FOLLOW-ON;ICVM 476;1/12/2020;69.50;03/12/20; - ; 436 ; - ; 3753000000 ; 3753000000 ;0%;47%;53%;0%
ALPHAVILLE;NM;Incorporações;Bradesco BB;IPO;ICVM 476;9/12/2020;29.50;07/12/20; 6 ; 39 ; 305992585 ; - ; 305992585 ;2%;81%;4%;13%
REDE D OR;NM;ServMédHospitAnálises e Diagnósticos;Bank of America;IPO;ICVM 400;9/12/2020;57.92;10/12/20; 41258 ; 43237 ; 8437640047 ; 2953173990 ; 11390814037 ;11%;42%;47%;1%
NEOGRID;NM; Programas e Serviços;Credit Suisse;IPO;ICVM 400;15/12/2020;4.50;18/12/20; 2747 ; 2964 ; 337500000 ; 148950000 ; 486450000 ;18%;55%;27%;1%
LIGHT S/A;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;19/1/2021;20.00;21/01/21; 278 ; 663 ; 1372425280 ; 1372425280 ; 2744850560 ;0%;66%;34%;0%
HBRREALTY;NM;Exploração de Imóveis;Bradesco BBI;IPO;ICVM 476;21/1/2021;19.10;21/01/21; - ; 31 ; 802582000 ; - ; 802582000 ;0%;59%;9%;33%
VAMOS;NM;Aluguel de carros;BTG Pactual;IPO;ICVM 476;27/1/2021;26.00;29/01/21; - ; 60 ; 889598528 ; 415145952 ; 1304744480 ;0%;43%;57%;0%
OMEGA GER;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;28/1/2021;39.00;02/02/21; - ; 191 ; - ; 954719922 ; 954719922 ;0%;67%;31%;1%
BTGP BANCO;N2;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;21/1/2021;30.84;26/02/21; - ; 1674 ; 2570000021 ; - ; 2570000021 ;0%;45%;16%;38%
PETRORIO;NM;Exploração Refino e Distribuição;BTG Pactual;FOLLOW-ON;ICVM 476;28/1/2021;69.00;01/02/21; - ; 1499 ; 2049300000 ; - ; 2049300000 ;0%;56%;15%;29%
BRASILAGRO;NM;Agricultura;BTG Pactual;FOLLOW-ON;ICVM 476;3/2/2021;22.00;05/02/21; - ; 550 ; 440000000 ; 60177810 ; 500177810 ;0%;37%;48%;14%
LOCAWEB;NM;Programas e Serviços;Itaú BBA;FOLLOW-ON;ICVM 476;9/2/2021;30.00;11/02/21; 1530 ; 2638 ; 2346000000 ; 408000000 ; 2754000000 ;1%;38%;61%;0%
ESPACOLASER;NM;Produtos Diversos;Itaú BBA;IPO;ICVM 400;28/1/2021;17.90;01/02/21; 7135 ; 7837 ; 1199999997 ; 1441623255 ; 2641623252 ;10%;62%;27%;1%
INTELBRAS;NM;Computadores e Equipamentos;BTG Pactual;IPO;ICVM 400;2/2/2021;15.75;04/02/21; 16772 ; 17280 ; 724500000 ; 579600000 ; 1304100000 ;12%;77%;12%;0%
MOSAICO;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;3/2/2021;19.80;05/02/21; 31017 ; 32377 ; 578571444 ; 636428668 ; 1215000112 ;11%;72%;15%;1%
MOBLY;NM;Programas e Serviços;Morgan Stanley;IPO;ICVM 400;3/2/2021;21.00;05/02/21; 3249 ; 3591 ; 777777798 ; 155555547 ; 933333345 ;10%;38%;44%;9%
JALLESMACHADO;NM;Açucar e Alcool;XP Investimentos;IPO;ICVM 400;4/2/2021;8.30;08/02/21; 3985 ; 4465 ; 552760005 ; 138189995 ; 690950000 ;9%;60%;29%;2%
FOCUS ON;NM;Energia Elétrica;Morgan Stanley;IPO;ICVM 400;21/1/2021;18.02;08/02/21; 1776 ; 2019 ; 764999997 ; 7649995 ; 772649991 ;11%;42%;47%;0%
CRUZEIRO SUL;NM;Serviços Educacionais;BTG Pactual;IPO;ICVM 400;9/2/2021;14.00;11/02/21; 2517 ; 2763 ; 1071000000 ; 160650000 ; 1231650000 ;9%;51%;29%;0%
OCEANPACT;NM;Equipamentos e Serviços;Itaú BBA;IPO;ICVM 400;10/2/2021;11.15;12/02/21; 2831 ; 3114 ; 800000001 ; 270000004 ; 1070000005 ;11%;76%;12%;0%
ORIZON;NM;Água e Saneamento;Credit Suisse;IPO;ICVM 400;11/2/2021;22.00;17/02/21; 4867 ; 5233 ; 381399040 ; 105465778 ; 486864818 ;17%;52%;28%;2%
ELETROMIDIA;NM;Publicidade e Propaganda;Morgan Stanley;IPO;ICVM 400;11/2/2021;17.81;17/02/21; 2769 ; 3019 ; 700000001 ; 57944301 ; 757944302 ;9%;50%;40%;0%
BEMOBI TECH;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;8/2/2021;22.00;10/02/21; 12697 ; 13620 ; 1094117684 ; 164117646 ; 1258235330 ;11%;76%;13%;0%
CSNMINERACAO;N2;Minerais Metálicos;Morgan Stanley;IPO;ICVM 400;12/2/2021;8.50;18/02/21; 66255 ; 67524 ; 1796903409 ; 3168372816 ; 4965276224 ;20%;29%;50%;1%
WESTWING;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;8/2/2021;13.00;10/02/21; 8368 ; 9130 ; 430294306 ; 602412018 ; 1032706324 ;12%;77%;11%;0%
3R PETROLEUM;NM;Exploração Refino e Distribuição;BTG Pactual;FOLLOW-ON;ICVM 476;30/3/2021;36.00;01/04/21; - ; 1184 ; 822798000 ; - ; 822798000 ;0%;62%;23%;14%
DASA;BÁSICO;Serv Méd Hospit. Análises e Diagnósticos;Bradesco BBI;FOLLOW-ON;ICVM 476;7/4/2021;58.00;08/04/21; 35 ; 287 ; 3666272974 ; 120734888 ; 3787007862 ;0%;21%;53%;26%
ALLIED;NM;Eletrodomésticos;BTG Pactual;IPO;ICVM 476;8/4/2021;18.00;12/04/21; 2 ; 38 ; 180000000 ; 90000000 ; 270000000 ;1%;70%;15%;0%
MATER DEI;NM;ServMédHospitAnálises e Diagnósticos;BTG Pactual;IPO;ICVM 400;14/4/2021;17.44;16/04/21; 2765 ; 3069 ; 1194727566 ; 218399986 ; 1413127553 ;9%;71%;19%;1%
BLAU;NM;Medicamentos e Outros Produtos;Itaú BBA;IPO;ICVM 400;8/4/2021;40.14;19/04/21; 1765 ; 2017 ; 1260152711 ; - ; 1260152711 ;5%;46%;49%;0%
GPS;NM;Serviços Diversos;Itaú BBA;IPO;ICVM 400;22/4/2021;12.00;26/04/21; 1669 ; 1994 ; 1082251080 ; 1406926404 ; 2489177484 ;4%;71%;25%;0%
BOA SAFRA;NM;Agricultura;XP Investimentos;IPO;ICVM 400;27/4/2021;9.90;29/04/21; 15557 ; 16158 ; 459999995 ; - ; 459999995 ;14%;70%;15%;1%
CAIXA SEGURI²;NM;Seguradoras;Morgan Stanley;IPO;ICVM 400;27/4/2021;9.67;29/04/21; - ; - ; - ; 4351500000 ; 4351500000 ;0%;0%;0%;0%
MODALMAIS;N2;Bancos;Credit Suisse;IPO;ICVM 400;28/4/2021;20.01;30/04/21; 4310 ; 4770 ; 2477788275 ; 715357500 ; 3193145775 ;7%;16%;12%;0%
SEQUOIA LOG;NM;Serviços Diversos;BTG Pactual;FOLLOW-ON;ICVM 476;15/4/2021;25.00;19/04/21; - ; 290 ; 207182325 ; 918282900 ; 1125465225 ;0%;38%;35%;6%
ALUPAR;N2;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;20/4/2021;25.50;23/04/21; - ; 155 ; - ; 896650227 ; 896650227 ;0%;80%;20%;0%
HAPVIDA;NM;Serv Méd Hospit. Análises e Diagnósticos;BTG  Pactual;FOLLOW-ON;ICVM 476;20/4/2021;15.00;23/04/21; - ; 1058 ; 2025000000 ; 675000000 ; 2700000000 ;0%;61%;30%;10%
LOJAS RENNER;NM;Tecidos. Vestuário e Calçados;Itaú BBA;FOLLOW-ON;ICVM 476;29/4/2021;39.00;03/05/21; 2205 ; 3160 ; 3978000000 ; - ; 3978000000 ;0%;50%;50%;0%
INFRACOMM;NM;Programas e Serviços;Itaú BBA;IPO;ICVM 476;30/4/2021;16.00;04/05/21; 1 ; 137 ; 902388000 ; - ; 902388000 ;0%;71%;40%;0%
PETRORECSA;NM;Exploração Refino e Distribuição;Itaú BBA;IPO;ICVM 400;3/5/2021;14.75;05/05/21; 2596 ; 2926 ; 1187375000 ; - ; 1187375000 ;10%;79%;11%;0%
GETNINJAS;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;18/5/2021;20.00;13/05/21; 1205 ; 1343 ; 321285160 ; 160754620 ; 482039780 ;7%;79%;13%;0%
G2D INVEST;BDR;Gestão de Recursos e Investimentos;BTG Pactual;IPO;ICVM 400;13/5/2021;7.16;14/05/21; 5124 ; 5387 ; 281062399 ; - ; 281062399 ;60%;2%;13%;25%
REDE D OR;NM;ServMédHospitAnálises e Diagnósticos;BofA Merrill Lynch;FOLLOW-ON;ICVM 476;26/5/2021;71.00;28/05/21; - ; 2362 ; 1777840000 ; 3111220000 ; 4889060000 ;0%;50%;48%;3%
DOTZ;NM;Programas de Fidelização;BTG Pactual;IPO;ICVM 476;27/5/2021;13.20;31/05/21; - ; 24 ; 390720000 ; - ; 390720000 ;0%;45%;52%;7%
ECORODOVIAS;NM;Exploração de Rodovias;BTG Pactual;FOLLOW-ON;ICVM 476;22/6/2021;12.50;24/06/21; - ; 7 ; 1720439300 ; 250000000 ; 1970439300 ;0%;13%;0%;0%
BTGP BANCO;N2;Bancos;BTG Pactual. Bradesco BBI;FOLLOW-ON;ICVM 476;8/6/2021;40.67;10/06/21; - ; 2059 ; 2977288020 ; - ; 2977288020 ;0%;50%;21%;37%
BANCO INTER;N2;Bancos;Bradesco BBI;FOLLOW-ON;ICVM 476;24/6/2021;19.28;28/06/21; 18015 ; 20757 ; 5499999970 ; - ; 5499999970 ;2%;25%;74%;0%
BR PARTNERS;N2;Bancos;BTG Pactual;IPO;ICVM 476;17/6/2021;16.00;21/06/21; - ; 84 ; 1092000000 ; - ; 1092000000 ;0%;34%;3%;0%
GRUPO SOMA;NM;Tecidos Vestuário e Calçados;Itaú BBA;FOLLOW-ON;ICVM 476;20/7/2021;19.20;22/07/21; 289 ; 599 ; 883435584 ; - ; 883435584 ;0%;90%;10%;0%
MAGAZ LUIZA;NM;Eletrodomésticos;Itaú BBA;FOLLOW-ON;ICVM 476;22/7/2021;22.75;26/07/21; 2827 ; 3979 ; 3981250000 ; - ; 3981250000 ;0%;31%;69%;0%
MELIUZ;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;15/7/2021;57.00;19/07/21; 1 ; 1499 ; 427500000 ; 727660119 ; 1155160119 ;0%;55%;20%;11%
3TENTOS;NM;Agricultura;BTG Pactual;IPO;ICVM 476;7/7/2021;12.25;12/07/21; 20 ; 81 ; 1152941176 ; 192156869 ; 1345098045 ;1%;99%;16%;0%
WDC NETWORKS;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 476;22/7/2021;23.20;26/07/21; - ; 35 ; 450080000 ; - ; 450080000 ;0%;95%;6%;0%
SMART FIT;NM;Atividades Esportivas;Itaú BBA;IPO;ICVM 400;12/7/2021;23.00;14/07/21; 16164 ; 17305 ; 2645000000 ; - ; 2645000000 ;9%;41%;31%;19%
MULTILASER;NM;Computadores e Equipamentos;Itáu BBA;IPO;ICVM 400;20/7/2021;11.10;22/07/21; 18708 ; 19331 ; 1912676942 ; - ; 1912676942 ;12%;75%;28%;1%
DESKTOP;NM;Computadores e Equipamentos;Itaú BBA;IPO;ICVM 400;19/7/2021;23.50;21/07/21; 8393 ; 8845 ; 715222500 ; - ; 715222500 ;14%;109%;13%;0%
CBA;NM;Minerais Metálicos;BofA Merrill Lynch;IPO;ICVM 400;13/7/2021;11.20;15/07/21; 7782 ; 8191 ; 700000000 ; 910000000 ; 1610000000 ;11%;58%;29%;16%
PETROBRAS BR;NM;Exploração Refino e Distribuição;Morgan Stanley;FOLLOW-ON;ICVM 400;1/7/2021;26.00;02/07/21; 4859 ; 5795 ; - ; 11358750000 ; 11358750000 ;6%;59%;34%;0%
AGROGALAXY;NM;Agricultura;Itaú BBA;IPO;ICVM 476;22/7/2021;13.75;26/07/21; - ; 120 ; 349999994 ; - ; 349999994 ;0%;0%;0%;0%
UNIFIQUE;NM;Telecomunicações;XP Investimentos;IPO;ICVM 400;23/7/2021;8.60;27/07/21; 9372 ; 9957 ; 863420899 ; - ; 863420899 ;14%;58%;27%;2%
ARMAC;NM;Máq e Equip Industriais;Santander;IPO;ICVM 400;26/7/2021;16.63;28/07/21; 8076 ; 8716 ; 1000300753 ; 532483071 ; 1532783824 ;11%;61%;28%;0%
TC;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;26/7/2021;9.50;28/07/21; 3762 ; 4230 ; 544930346 ; - ; 544930346 ;10%;70%;2%;17%
BRISANET;NM;Telecomunicações;Santander;IPO;ICVM 400;27/7/2021;13.92;29/07/21; 5965 ; 6183 ; 1340059998 ; - ; 1340059998 ;15%;78%;7%;0%
CLEARSALE;NM;Serviços Financeiros Diversos;Itaú BBA;IPO;ICVM 400;28/7/2021;25.00;30/07/21; 7444 ; 8026 ; 795156250 ; 509967250 ; 1305123500 ;10%;51%;39%;1%
VIVEO;NM;Medicamentos e Outros Produtos;JP Morgan;IPO;ICVM 476;5/8/2021;19.92;09/08/21; 1 ; 215 ; 699999995 ; 1176980292 ; 1876980287 ;0%;38%;61%;0%
RAIZEN;N2;Exploração. Refino e Distribuição;BTG Pactual;IPO;ICVM 400;3/8/2021;7.40;04/08/21; 82316 ; 85700 ; 6709671390 ; - ; 6709671390 ;15%;37%;50%;1%
ONCOCLINICAS;NM;ServMédHospitAnálises e Diagnósticos;Goldman Sachs;IPO;ICVM 400;6/8/2021;19.75;10/08/21; 6528 ; 6914 ; 1780423533 ; 889239089 ; 2669662622 ;11%;66%;36%;2%
KORA SAUDE;NM;ServMédHospitAnálises e Diagnósticos;Itaú BBA;IPO;ICVM 476;11/8/2021;7.20;13/08/21; 19 ; 80 ; 769920797 ; - ; 769920797 ;0%;80%;27%;6%
VITTIA;NM;Fertilizantes e Defensivos;XP Investimentos;IPO;ICVM 476;31/8/2021;8.60;02/09/21; 2 ; 267 ; 71611908 ; 310388095 ; 382000003 ;1%;101%;12%;1%
SINQIA;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;2/9/2021;23.00;06/09/21; 1 ; 1844 ; 400042680 ; - ; 400042680 ;0%;55%;19%;26%
AES BRASIL;NM;Energia Elétrica;Bradesco BBI;FOLLOW-ON;ICVM 476;28/9/2021;12.00;30/09/21; 2998 ; 3385 ; 1116000000 ; - ; 1116000000 ;1%;28%;19%;51%
TOTVS;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;21/9/2021;36.75;23/09/21; - ; 990 ; 1443172500 ; - ; 1443172500 ;0%;18%;42%;40%
VAMOS;NM;Aluguel de carros;BTG Pactual;FOLLOW-ON;ICVM 476;23/9/2021;16.75;27/09/21; - ; 456 ; 1098532168 ; - ; 1098532168 ;0%;56%;36%;9%
PETZ;NM;Produtos Diversos;Itaú BBA;FOLLOW-ON;ICVM 476;18/11/2021;19.00;22/11/21; 647 ; 1098 ; 779000000 ; - ; 779000000 ;0%;61%;39%;0%
3R PETROLEUM;NM;Exploração Refino e Distribuição;Itaú BBA;FOLLOW-ON;ICVM 476;4/11/2021;33.00;08/11/21; 1041 ; 1553 ; 2168100000 ; 240900000 ; 2409000000 ;1%;82%;17%;0%
NU-NUBANK*;BDR Patrocinado Nível 3;Bancos;NuInvest Corretora de Valores SA;IPO;ICVM 400;8/12/2021;8.36;09/12/21; - ; - ; 405680537 ; - ; 405680537 ;0%;0%;0%;0%
;;;;;;;;;;;;;;;;;
;¹ Dados referentes somente à ("Oferta Brasileira");;;;;;;;;;;;;;;;
;² Dados preliminares;;;;;;;;;;;;;;;;
;³ Antes da Recompra no Âmbito das Atividades de Estabilização;;;;;;;;;;;;;;;;
;4 Preço ponderado quando se tratar de oferta pública de ações ON e PN;;;;;;;;;;;;;;;;
;N/D -  Não disponível;;;;;;;;;;;;;;;;
