;;;;;;;;;;;;;;;;;;;;;;;
;'DADOS DA COMPANHIA';;;;' INFORMAÇÕES DA OFERTA';;;;;' ANÚNCIO DE ENCERRAMENTO ';;;;;'PARTICIPAÇÃO DOS INVESTIDORES (%) ³';;;;;' VOLUME TOTAL (R$) ';;;
;'NOME DE PREGÃO';'LISTAGEM NA OFERTA';'CLASSIFICAÇÃO SETORIAL (SEGMENTO)';'COORDENADOR LÍDER';'CLASSIFICAÇÃO';'TIPO';'FIXAÇÃO DE PREÇO';'PREÇO POR AÇÃO / UNIT / BDR (LÇTO.)4';'INÍCIO DE NEGOCIAÇÃO';'Nº DE PESSOAS FÍSICAS';' Nº TOTAL DE INVESTIDORES ';' VOLUME PRIMÁRIA (R$) ';' VOLUME SECUNDÁRIA (R$) ';'VOLUME TOTAL (R$)';'VAREJO';'INSTITUCIONAL';'ESTRANGEIROS';'OUTROS';;'ANO';'IPO';'FOLLOW-ON';'TOTAL'
;'CCR RODOVIAS';'NM';'EXPLORAÇÃO DE RODOVIAS';'UBS';'FOLLOW-ON';'ICVM 400';26/4/2004;23.50;27/04/04;' 1.010 ';' 1.514 ';' 375.000.005 ';' - ';' 375.000.005 ';7%;18%;75%;1%;;2004;' 4.487.065.024 ';' 4.317.579.322 ';' 8.804.644.346 '
;'NATURA';'NM';'PROD. DE USO PESSOAL';'UBS';'IPO';'ICVM 400';24/5/2004;36.50;26/05/04;' 4.376 ';' 5.460 ';' - ';' 768.120.637 ';' 768.120.637 ';14%;15%;67%;4%;;2005;' 5.447.335.660 ';' 8.488.868.795 ';' 13.936.204.455 '
;'GOL';'N2';'TRANSPORTE AÉREO';'MORGAN STANLEY';'IPO';'ICVM 400';23/6/2004;26.57;24/06/04;' 11.274 ';' 12.380 ';' 498.187.500 ';' 379.951.000 ';' 878.138.500 ';10%;13%;75%;1%;;2006;' 15.373.613.634 ';' 15.062.683.258 ';' 30.436.296.892 '
;'ALL AMER LAT';'N2';'TRANSPORTE FERROVIÁRIO';'PACTUAL';'IPO';'ICVM 400';23/6/2004;46.50;25/06/04;' 3.275 ';' 4.198 ';' 267.375.000 ';' 320.850.000 ';' 588.225.000 ';8%;20%;71%;1%;;2007;' 55.648.186.085 ';' 14.464.732.433 ';' 70.112.918.518 '
;'WEG';'N1';'MOTORES. COMPRESSORES E OUTROS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 400';3/9/2004;7.20;06/09/04;' 5.130 ';' 5.708 ';' - ';' 319.384.800 ';' 319.384.800 ';30%;24%;41%;5%;;2008;' 7.494.941.362 ';' 26.760.549.835 ';' 34.255.491.197 '
;'BRASKEM';'N1';'PETROQUÍMICOS';'UNIBANCO';'FOLLOW-ON';'ICVM 400';22/9/2004;0.09;24/09/04;' 2.287 ';' 2.737 ';' 1.210.950.000 ';' - ';' 1.210.950.000 ';5%;21%;74%;1%;;2009;' 23.831.458.391 ';' 22.151.816.327 ';' 45.983.274.718 '
;'CPFL ENERGIA';'NM';'ENERGIA ELÉTRICA';'MERRILL LYNCH';'IPO';'ICVM 400';28/9/2004;17.22;29/09/04;' 2.661 ';' 3.271 ';' 684.649.515 ';' 136.312.659 ';' 820.962.174 ';7%;22%;69%;1%;;2010;' 11.193.373.738 ';' 138.047.959.152 ';' 149.241.332.889 '
;'GRENDENE';'NM';'CALÇADOS';'PACTUAL';'IPO';'ICVM 400';27/10/2004;31.00;29/10/04;' 7.745 ';' 8.998 ';' - ';' 616.900.000 ';' 616.900.000 ';16%;19%;64%;1%;;2011;' 7.175.095.457 ';' 10.814.789.923 ';' 17.989.885.380 '
;'SABESP';'NM';'ÁGUA E SANEAMENTO';'UNIBANCO';'FOLLOW-ON';'ICVM 400';28/10/2004;0.11;29/10/04;' 89 ';' 361 ';' - ';' 687.986.985 ';' 687.986.985 ';1%;17%;81%;0%;;2012;' 3.932.950.736 ';' 9.307.533.492 ';' 13.240.484.228 '
;'DASA';'NM';'SERV. MÉD. HOSPIT.. ANÁLISES E DIAGNÓSTICOS';'UBS';'IPO';'ICVM 400';17/11/2004;20.00;19/11/04;' 2.815 ';' 3.482 ';' 126.136.300 ';' 311.247.720 ';' 437.384.020 ';9%;22%;68%;1%;;2013;' 17.293.349.990 ';' 6.066.116.253 ';' 23.359.466.243 '
;'PORTO SEGURO';'NM';'SEGURADORAS';'PACTUAL';'IPO';'ICVM 400';18/11/2004;18.75;22/11/04;' 5.757 ';' 6.499 ';' 129.022.800 ';' 248.311.894 ';' 377.334.694 ';8%;19%;71%;2%;;2014;' 417.980.763 ';' 13.959.899.999 ';' 14.377.880.762 '
;'GERDAU';'N1';'SIDERURGIA';'PACTUAL';'FOLLOW-ON';'ICVM 400';9/12/2004;40.00;09/12/04;' 169 ';' 250 ';' - ';' 412.805.170 ';' 412.805.170 ';5%;14%;79%;3%;;2015;' 602.800.014 ';' 17.461.217.465 ';' 18.064.017.479 '
;'GERDAU MET';'N1';'SIDERURGIA';'PACTUAL';'FOLLOW-ON';'ICVM 400';9/12/2004;55.00;09/12/04;' 66 ';' 119 ';' - ';' 88.266.090 ';' 88.266.090 ';13%;53%;28%;6%;;2016;' 674.197.600 ';' 9.966.649.298 ';' 10.640.846.898 '
;'BRADESPAR';'N1';'HOLDINGS DIVERSIFICADAS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';14/12/2004;77.00;15/12/04;' 315 ';' 737 ';' 1.044.546.272 ';' - ';' 1.044.546.272 ';3%;16%;66%;15%;;2017;' 20.760.529.289 ';' 21.020.386.288 ';' 41.780.915.577 '
;'SUZANO PETR';'N2';'PETROQUÍMICOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';16/12/2004;5.80;17/12/04;' 4.680 ';' 5.284 ';' 31.900.000 ';' 146.740.000 ';' 178.640.000 ';18%;46%;35%;1%;;2018;' 6.823.344.095 ';' 4.429.700.000 ';' 11.253.044.095 '
;'UNIBANCO';'N1';'BANCOS';'UNIBANCO';'FOLLOW-ON';'ICVM 400';31/1/2005;15.65;31/01/05;' 1.402 ';' 2.064 ';' - ';' 718.294.107 ';' 718.294.107 ';9%;32%;57%;2%;;2019;' 9.836.302.565 ';' 79.762.980.683 ';' 89.599.283.248 '
;'RENAR';'NM';'ALIMENTOS DIVERSOS';'ELITE';'IPO';'ICVM 400';10/8/2004;1.60;28/02/05;' 1.589 ';' 1.781 ';' 16.000.000 ';' - ';' 16.000.000 ';87%;1%;5%;7%;;2020;' 43.925.413.832 ';' 73.962.720.930 ';' 117.888.134.762 '
;'ALL AMER LAT';'N2';'TRANSPORTE FERROVIÁRIO';'PACTUAL';'FOLLOW-ON';'ICVM 400';22/3/2005;72.50;23/03/05;' 1.167 ';' 1.540 ';' - ';' 644.865.678 ';' 644.865.678 ';9%;11%;80%;0%;;2021;' 65.668.660.563 ';' 64.844.099.967 ';' 130.512.760.530 '
;'SUBMARINO';'NM';'PRODUTOS DIVERSOS';'CREDIT SUISSE';'IPO';'ICVM 400';29/3/2005;21.62;30/03/05;' 3.969 ';' 4.368 ';' 135.125.000 ';' 337.812.500 ';' 472.937.500 ';9%;23%;65%;2%;;2022;' - ';' - ';' - '
;'ULTRAPAR';'BÁSICO';'HOLDINGS DIVERSIFICADAS';'UBS';'FOLLOW-ON';'ICVM 400';12/4/2005;0.04;13/04/05;' 1.466 ';' 1.817 ';' 47.218.028 ';' 314.786.853 ';' 362.004.881 ';8%;14%;75%;3%;;;;;
;'GOL';'N2';'TRANSPORTE AÉREO';'SANTANDER';'FOLLOW-ON';'ICVM 400';27/4/2005;35.12;28/04/05;' 2.379 ';' 2.598 ';' 271.330.482 ';' 322.373.118 ';' 593.703.600 ';5%;15%;79%;1%;;;;;
;'LOCALIZA';'NM';'ALUGUEL DE CARROS';'CREDIT SUISSE';'IPO';'ICVM 400';19/5/2005;11.50;23/05/05;' 785 ';' 958 ';' - ';' 264.802.738 ';' 264.802.738 ';8%;4%;87%;1%;;;;;
;'TAM S/A';'N2';'TRANSPORTE AÉREO';'PACTUAL';'IPO';'ICVM 400';13/6/2005;18.00;14/06/05;' 1.171 ';' 1.647 ';' 383.942.160 ';' 164.546.640 ';' 548.488.800 ';9%;16%;74%;1%;;;;;
;'AES TIETE';'BÁSICO';'ENERGIA ELÉTRICA';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';14/6/2005;0.04;15/06/05;' 657 ';' 1.139 ';' - ';' 1.059.840.084 ';' 1.059.840.084 ';2%;18%;80%;0%;;;;;
;'LOJAS RENNER';'NM';'TECIDOS. VESTUÁRIO E CALÇADOS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';29/6/2005;37.00;01/07/05;' 106 ';' 448 ';' 343.138.259 ';' 542.890.492 ';' 886.028.751 ';2%;12%;86%;0%;;;;;
;'ENERGIAS BR';'NM';'ENERGIA ELÉTRICA';'UBS';'IPO';'ICVM 400';12/7/2005;18.00;13/07/05;' 460 ';' 1.473 ';' 1.170.132.696 ';' 14.570.028 ';' 1.184.702.724 ';1%;15%;26%;57%;;;;;
;'OHL BRASIL';'NM';'EXPLORAÇÃO DE RODOVIAS';'UNIBANCO';'IPO';'ICVM 400';13/7/2005;18.00;15/07/05;' 1.057 ';' 1.367 ';' 135.000.000 ';' 360.999.990 ';' 495.999.990 ';8%;21%;70%;1%;;;;;
;'UNIBANCO';'N1';'BANCOS';'UNIBANCO';'FOLLOW-ON';'ICVM 400';13/9/2005;20.49;14/09/05;' 932 ';' 1.415 ';' - ';' 1.765.197.436 ';' 1.765.197.436 ';3%;15%;80%;1%;;;;;
;'BRADESPAR';'N1';'HOLDINGS DIVERSIFICADAS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';14/9/2005;53.00;15/09/05;' 823 ';' 1.289 ';' - ';' 505.059.260 ';' 505.059.260 ';9%;24%;67%;1%;;;;;
;'CYRELA REALT';'NM';'CONSTRUÇÃO CIVIL';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';20/9/2005;15.00;22/09/05;' 1.574 ';' 2.025 ';' 629.175.000 ';' 273.000.000 ';' 902.175.000 ';8%;19%;72%;1%;;;;;
;'NOSSA CAIXA';'NM';'BANCOS';'UBS';'IPO';'ICVM 400';26/10/2005;31.00;28/10/05;' 7.342 ';' 8.983 ';' - ';' 953.955.994 ';' 953.955.994 ';7%;22%;71%;1%;;;;;
;'COSAN';'NM';'ALIMENTOS DIVERSOS';'MORGAN STANLEY';'IPO';'ICVM 400';16/11/2005;48.00;18/11/05;' 8.835 ';' 10.359 ';' 885.767.328 ';' - ';' 885.767.328 ';8%;18%;72%;1%;;;;;
;'TRACTEBEL';'NM';'ENERGIA ELÉTRICA';'UBS';'FOLLOW-ON';'ICVM 400';7/12/2005;13.00;09/12/05;' 6.351 ';' 7.405 ';' - ';' 1.051.700.000 ';' 1.051.700.000 ';8%;36%;55%;1%;;;;;
;'UOL';'N2';'PROGRAMAS E SERVIÇOS';'MERRILL LYNCH';'IPO';'ICVM 400';14/12/2005;18.00;16/12/05;' 12.890 ';' 14.346 ';' 322.972.416 ';' 301.708.170 ';' 624.680.586 ';7%;21%;71%;1%;;;;;
;'IOCHP-MAXION';'N1';'MATERIAL RODOVIÁRIO';'UNIBANCO';'FOLLOW-ON';'ICVM 400';31/1/2006;19.25;02/02/06;' 6.870 ';' 7.577 ';' - ';' 340.203.787 ';' 340.203.787 ';12%;44%;42%;3%;;;;;
;'COPASA';'NM';'ÁGUA E SANEAMENTO';'UNIBANCO';'IPO';'ICVM 400';6/2/2006;23.50;08/02/06;' 15.465 ';' 17.214 ';' 813.461.524 ';' - ';' 813.461.524 ';7%;18%;74%;1%;;;;;
;'VIVAX';'N2';'TELEVISÃO POR ASSINATURA';'ITAÚ BBA';'IPO';'ICVM 400';6/2/2006;24.50;08/02/06;' 7.730 ';' 9.017 ';' 58.800.000 ';' 470.400.000 ';' 529.200.000 ';8%;23%;69%;1%;;;;;
;'ROSSI RESID';'NM';'CONSTRUÇÃO CIVIL';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';13/2/2006;25.00;15/02/06;' 3.348 ';' 3.989 ';' 762.500.000 ';' 250.000.000 ';' 1.012.500.000 ';7%;12%;80%;0%;;;;;
;'GAFISA';'NM';'CONSTRUÇÃO CIVIL';'MERRILL LYNCH';'IPO';'ICVM 400';16/2/2006;18.50;17/02/06;' 13.753 ';' 15.560 ';' 494.394.000 ';' 432.594.750 ';' 926.988.750 ';9%;18%;72%;1%;;;;;
;'COMPANY';'NM';'CONSTRUÇÃO CIVIL';'ABN AMRO';'IPO';'ICVM 400';23/2/2006;16.00;02/03/06;' 12.903 ';' 13.701 ';' 208.000.000 ';' 73.600.000 ';' 281.600.000 ';9%;27%;64%;0%;;;;;
;'TOTVS';'NM';'PROGRAMAS E SERVIÇOS';'ITAÚ BBA';'IPO';'ICVM 400';7/3/2006;32.00;09/03/06;' 16.017 ';' 17.600 ';' 344.800.000 ';' 115.200.000 ';' 460.000.000 ';9%;21%;69%;0%;;;;;
;'TAM S/A';'N2';'TRANSPORTE AÉREO';'PACTUAL';'FOLLOW-ON';'ICVM 400';9/3/2006;42.00;10/03/06;' 3.510 ';' 3.891 ';' 273.162.918 ';' 1.285.960.116 ';' 1.559.123.034 ';4%;19%;77%;0%;;;;;
;'DASA';'NM';'SERV. MÉD. HOSPIT.. ANÁLISES E DIAGNÓSTICOS';'UBS';'FOLLOW-ON';'ICVM 400';22/3/2006;49.00;24/03/06;' 2.063 ';' 2.308 ';' 185.955.000 ';' 476.428.274 ';' 662.383.274 ';4%;11%;85%;1%;;;;;
;'EQUATORIAL';'N2';'ENERGIA ELÉTRICA';'CREDIT SUISSE';'IPO';'ICVM 400';30/3/2006;14.50;03/04/06;' 7.365 ';' 7.886 ';' 185.600.000 ';' 354.670.000 ';' 540.270.000 ';9%;14%;77%;0%;;;;;
;'SARAIVA LIVR';'N2';'JORNAIS. LIVROS E REVISTAS';'SANTANDER';'FOLLOW-ON';'ICVM 400';11/4/2006;22.00;13/04/06;' 5.976 ';' 6.226 ';' 66.000.000 ';' 116.599.230 ';' 182.599.230 ';8%;17%;75%;0%;;;;;
;'DURATEX';'N1';'MADEIRA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';11/4/2006;43.50;13/04/06;' 4.291 ';' 4.842 ';' 195.750.000 ';' 413.250.000 ';' 609.000.000 ';6%;15%;46%;32%;;;;;
;'SUBMARINO';'NM';'PRODUTOS DIVERSOS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';12/4/2006;53.75;17/04/06;' - ';' 140 ';' 291.506.030 ';' 637.570.890 ';' 929.076.920 ';0%;10%;90%;0%;;;;;
;'LOCALIZA';'NM';'ALUGUEL DE CARROS';'PACTUAL';'FOLLOW-ON';'ICVM 400';19/4/2006;41.00;20/04/06;' 2.514 ';' 2.959 ';' 156.825.000 ';' 237.214.274 ';' 394.039.274 ';8%;17%;74%;1%;;;;;
;'ABNOTE';'NM';'SERVIÇOS DIVERSOS';'UBS';'IPO';'ICVM 400';25/4/2006;17.00;27/04/06;' 15.132 ';' 16.861 ';' - ';' 480.434.790 ';' 480.434.790 ';8%;21%;70%;1%;;;;;
;'RANDON PART';'N1';'MATERIAL RODOVIÁRIO';'SANTANDER';'FOLLOW-ON';'ICVM 400';26/4/2006;8.25;28/04/06;' 4.084 ';' 4.335 ';' 99.000.000 ';' 136.200.207 ';' 235.200.207 ';11%;23%;54%;12%;;;;;
;'CSU CARDSYST';'NM';'SERVIÇOS DIVERSOS';'CREDIT SUISSE';'IPO';'ICVM 400';27/4/2006;18.00;02/05/06;' 14.362 ';' 15.585 ';' 100.288.746 ';' 240.683.832 ';' 340.972.578 ';9%;16%;72%;4%;;;;;
;'BRASILAGRO';'NM';'EXPLORAÇÃO DE IMÓVEIS';'CREDIT SUISSE';'IPO';'ICVM 400';27/4/2006;1.000.00;02/05/06;' 3 ';' 39 ';' 583.200.000 ';' - ';' 583.200.000 ';0%;3%;82%;14%;;;;;
;'LUPATECH';'NM';'MOTORES. COMPRESSORES E OUTROS';'PACTUAL';'IPO';'ICVM 400';11/5/2006;22.00;15/05/06;' 11.198 ';' 12.203 ';' 155.048.652 ';' 297.691.372 ';' 452.740.024 ';8%;19%;73%;0%;;;;;
;'GP INVEST ¹';'BDR';'HOLDINGS DIVERSIFICADAS';'CREDIT SUISSE';'IPO';'ICVM 400';30/5/2006;34.27;01/06/06;' 2.356 ';' 2.524 ';' 705.980.849 ';' - ';' 705.980.849 ';4%;17%;76%;3%;;;;;
;'DATASUL';'NM';'PROGRAMAS E SERVIÇOS';'UBS';'IPO';'ICVM 400';31/5/2006;18.00;02/06/06;' 5.470 ';' 5.973 ';' 150.697.674 ';' 166.314.834 ';' 317.012.508 ';14%;13%;72%;2%;;;;;
;'PORTO SEGURO';'NM';'SEGURADORAS';'PACTUAL';'FOLLOW-ON';'ICVM 400';13/6/2006;33.50;14/06/06;' 272 ';' 350 ';' - ';' 201.000.000 ';' 201.000.000 ';3%;43%;54%;0%;;;;;
;'BRASIL';'NM';'BANCOS';'BB INVESTIMENTOS';'FOLLOW-ON';'ICVM 400';26/6/2006;43.50;28/06/06;' 48.602 ';' 52.923 ';' - ';' 2.273.208.950 ';' 2.273.208.950 ';28%;19%;51%;3%;;;;;
;'CYRELA REALT';'NM';'CONSTRUÇÃO CIVIL';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';19/7/2006;29.50;21/07/06;' 1.283 ';' 1.778 ';' 728.650.000 ';' 109.297.500 ';' 837.947.500 ';4%;20%;75%;0%;;;;;
;'MMX MINER';'NM';'MINERAIS METÁLICOS';'PACTUAL';'IPO';'ICVM 400';20/7/2006;815.00;24/07/06;' 17 ';' 110 ';' 1.118.895.570 ';' - ';' 1.118.895.570 ';0%;11%;76%;13%;;;;;
;'ABYARA';'NM';'CONSTRUÇÃO CIVIL';'MORGAN STANLEY';'IPO';'ICVM 400';25/7/2006;25.00;27/07/06;' 6 ';' 37 ';' 163.770.250 ';' - ';' 163.770.250 ';1%;4%;83%;12%;;;;;
;'CESP';'N1';'ENERGIA ELÉTRICA';'UBS';'FOLLOW-ON';'ICVM 400';27/7/2006;0.01;28/07/06;' 3.036 ';' 4.049 ';' 3.200.000.000 ';' - ';' 3.200.000.000 ';2%;25%;30%;42%;;;;;
;'MEDIAL SAUDE';'NM';'SERV. MÉD. HOSPIT.. ANÁLISES E DIAGNÓSTICOS';'CREDIT SUISSE';'IPO';'ICVM 400';20/9/2006;21.50;22/09/06;' 3.061 ';' 3.596 ';' 474.075.000 ';' 268.212.328 ';' 742.287.328 ';7%;17%;76%;1%;;;;;
;'ELETROPAULO';'N2';'ENERGIA ELÉTRICA';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';21/9/2006;0.09;25/09/06;' 3.660 ';' 4.478 ';' - ';' 1.345.481.065 ';' 1.345.481.065 ';9%;30%;60%;1%;;;;;
;'KLABINSEGALL';'NM';'CONSTRUÇÃO CIVIL';'DEUTSCHE BANK';'IPO';'ICVM 400';5/10/2006;15.00;09/10/06;' 4.624 ';' 5.131 ';' 360.573.750 ';' 166.773.750 ';' 527.347.500 ';9%;26%;65%;0%;;;;;
;'SANTOS BRAS';'N2';'SERVIÇOS DE APOIO E ARMAZENAGEM';'CREDIT SUISSE';'IPO';'ICVM 400';10/10/2006;23.00;13/10/06;' 4.209 ';' 4.873 ';' 924.968.759 ';' 8.433.341 ';' 933.402.100 ';8%;14%;77%;0%;;;;;
;'M.DIASBRANCO';'NM';'ALIMENTOS DIVERSOS';'PACTUAL';'IPO';'ICVM 400';16/10/2006;21.00;18/10/06;' 3.363 ';' 3.737 ';' - ';' 410.766.300 ';' 410.766.300 ';8%;20%;71%;1%;;;;;
;'PERDIGAO S/A';'NM';'CARNES E DERIVADOS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';26/10/2006;25.00;27/10/06;' 4.212 ';' 4.917 ';' 800.000.000 ';' - ';' 800.000.000 ';7%;14%;47%;31%;;;;;
;'BRASCAN RES';'NM';'CONSTRUÇÃO CIVIL';'CREDIT SUISSE';'IPO';'ICVM 400';19/10/2006;16.00;23/10/06;' 4.272 ';' 4.735 ';' 940.000.000 ';' 248.000.000 ';' 1.188.000.000 ';7%;5%;87%;0%;;;;;
;'PROFARMA';'NM';'MEDICAMENTOS';'CREDIT SUISSE';'IPO';'ICVM 400';24/10/2006;22.50;26/10/06;' 4.514 ';' 4.995 ';' 310.500.000 ';' 90.562.500 ';' 401.062.500 ';9%;21%;70%;0%;;;;;
;'TERNA PART';'N2';'ENERGIA ELÉTRICA';'ITAÚ BBA';'IPO';'ICVM 400';25/10/2006;21.00;27/10/06;' 6.258 ';' 7.326 ';' 371.360.304 ';' 255.310.209 ';' 626.670.513 ';8%;23%;65%;4%;;;;;
;'ECODIESEL';'NM';'EXPLORAÇÃO E/OU REFINO';'BANCO FATOR';'IPO';'ICVM 400';9/11/2006;12.00;22/11/06;' 9.315 ';' 9.841 ';' 378.932.220 ';' - ';' 378.932.220 ';9%;23%;59%;9%;;;;;
;'ODONTOPREV';'NM';'SERV. MÉD. HOSPIT.. ANÁLISES E DIAGNÓSTICOS';'ITAÚ BBA';'IPO';'ICVM 400';29/11/2006;28.00;01/12/06;' 8.675 ';' 9.772 ';' 161.913.052 ';' 360.118.192 ';' 522.031.244 ';9%;26%;63%;3%;;;;;
;'POSITIVO INF';'NM';'COMPUTADORES E EQUIPAMENTOS';'UBS';'IPO';'ICVM 400';7/12/2006;23.50;11/12/06;' 18.466 ';' 19.543 ';' 65.800.000 ';' 538.312.150 ';' 604.112.150 ';9%;25%;64%;1%;;;;;
;'SAO CARLOS';'NM';'EXPLORAÇÃO DE IMÓVEIS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';12/12/2006;19.50;14/12/06;' 6.445 ';' 6.821 ';' 341.250.000 ';' 139.670.018 ';' 480.920.018 ';10%;10%;75%;5%;;;;;
;'LOPES BRASIL';'NM';'INTERMEDIAÇÃO IMOBILIÁRIA';'UBS';'IPO';'ICVM 400';14/12/2006;20.00;18/12/06;' 9.803 ';' 10.438 ';' - ';' 474.720.000 ';' 474.720.000 ';11%;18%;71%;0%;;;;;
;'DUFRYBRAS';'BDR';'PRODUTOS DIVERSOS';'UBS';'IPO';'ICVM 400';18/12/2006;26.84;20/12/06;' 10.039 ';' 10.805 ';' - ';' 849.754.937 ';' 849.754.937 ';10%;21%;69%;0%;;;;;
;'PDG REALT';'NM';'CONSTRUÇÃO CIVIL';'UBS';'IPO';'ICVM 400';24/1/2007;14.00;26/01/07;' 11.826 ';' 12.422 ';' 432.263.062 ';' 216.131.538 ';' 648.394.600 ';9%;6%;84%;1%;;;;;
;'RODOBENSIMOB';'NM';'CONSTRUÇÃO CIVIL';'JP MORGAN';'IPO';'ICVM 400';29/1/2007;19.50;31/01/07;' 13.963 ';' 14.782 ';' 448.500.000 ';' - ';' 448.500.000 ';11%;22%;67%;0%;;;;;
;'CC DES IMOB';'NM';'CONSTRUÇÃO CIVIL';'CREDIT SUISSE';'IPO';'ICVM 400';29/1/2007;14.50;31/01/07;' 22.002 ';' 23.552 ';' 478.500.000 ';' 43.499.986 ';' 521.999.986 ';13%;38%;48%;1%;;;;;
;'TECNISA';'NM';'CONSTRUÇÃO CIVIL';'CREDIT SUISSE';'IPO';'ICVM 400';30/1/2007;13.00;01/02/07;' 17.187 ';' 18.216 ';' 590.652.257 ';' 200.650.827 ';' 791.303.084 ';10%;17%;59%;13%;;;;;
;'IGUATEMI';'NM';'EXPLORAÇÃO DE IMÓVEIS';'SANTANDER';'IPO';'ICVM 400';5/2/2007;30.00;07/02/07;' 16.710 ';' 18.100 ';' 548.677.440 ';' - ';' 548.677.440 ';9%;18%;72%;0%;;;;;
;'EMBRAER';'NM';'MATERIAL AERONÁUTICO';'JP MORGAN';'FOLLOW-ON';'ICVM 400';6/2/2007;21.35;08/02/07;' 3.936 ';' 4.278 ';' - ';' 1.789.970.678 ';' 1.789.970.678 ';2%;10%;88%;0%;;;;;
;'SUZANO PAPEL';'N1';'PAPEL E CELULOSE';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';7/2/2007;23.00;09/02/07;' 2.866 ';' 3.144 ';' - ';' 543.696.011 ';' 543.696.011 ';10%;32%;58%;1%;;;;;
;'SAO MARTINHO';'NM';'ALIMENTOS DIVERSOS';'UBS';'IPO';'ICVM 400';8/2/2007;20.00;12/02/07;' 24.369 ';' 25.864 ';' 260.000.000 ';' 163.680.000 ';' 423.680.000 ';10%;28%;53%;8%;;;;;
;'GVT HOLDING';'NM';'TELEFONIA FIXA';'CREDIT SUISSE';'IPO';'ICVM 400';14/2/2007;18.00;16/02/07;' 14.427 ';' 15.645 ';' 1.076.400.000 ';' - ';' 1.076.400.000 ';9%;15%;76%;0%;;;;;
;'ANHANGUERA';'N2';'SERVIÇOS EDUCACIONAIS';'CREDIT SUISSE';'IPO';'ICVM 400';8/3/2007;18.00;12/03/07;' 13.593 ';' 14.651 ';' 426.825.000 ';' 85.500.000 ';' 512.325.000 ';9%;15%;76%;0%;;;;;
;'GAFISA';'NM';'CONSTRUÇÃO CIVIL';'MERRILL LYNCH';'FOLLOW-ON';'ICVM 400';15/3/2007;26.00;16/03/07;' 5.179 ';' 5.527 ';' 487.811.792 ';' 683.493.174 ';' 1.171.304.966 ';2%;4%;93%;1%;;;;;
;'JBS';'NM';'CARNES E DERIVADOS';'JP MORGAN';'IPO';'ICVM 400';27/3/2007;8.00;29/03/07;' 22.662 ';' 23.690 ';' 1.216.750.400 ';' 400.000.000 ';' 1.616.750.400 ';9%;13%;74%;4%;;;;;
