;;;;;;;;;;;;;;;;;;;;;;;
;'SANTANDER BR ¹';'BÁSICO';'BANCOS';'BOFA MERRILL LYNCH';'FOLLOW-ON';'ICVM 476';6/4/2017;25.00;06/04/17;' - ';' 157 ';' - ';' 2.000.000.000 ';' 2.000.000.000 ';0%;19%;81%;0%;;;;;
;'BR MALLS PAR';'NM';'EXPLORAÇÃO DE IMÓVEIS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';24/5/2017;11.00;24/05/17;' 53 ';' 536 ';' 1.730.088.492 ';' - ';' 1.730.088.492 ';0%;33%;66%;0%;;;;;
;'BR PROPERT';'NM';'EXPLORAÇÃO DE IMÓVEIS ';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';29/6/2017;8.75;03/07/17;' 12 ';' 179 ';' 952.934.929 ';' - ';' 952.934.929 ';0%;4%;96%;0%;;;;;
;'CARREFOUR BR';'NM';'ALIMENTOS';'ITAÚ BBA';'IPO';'ICVM 400';18/7/2017;15.00;20/07/17;' 4.068 ';' 4.839 ';' 3.088.235.295 ';' 1.884.470.475 ';' 4.972.705.770 ';5%;32%;63%;1%;;;;;
;'BIOTOSCANA';'BDR';'MEDICAMENTOS E OUTROS PRODUTOS';'JP MORGAN';'IPO';'ICVM 400';18/7/2017;26.50;25/07/17;' 4.295 ';' 4.661 ';' 424.000.000 ';' 917.562.500 ';' 1.341.562.500 ';10%;22%;68%;0%;;;;;
;'IRBBRASIL RE';'NM';'SEGURADORAS';'BRADESCO BBI';'IPO';'ICVM 400';27/7/2017;27.24;31/07/17;' 7.324 ';' 7.879 ';' - ';' 2.003.610.960 ';' 2.003.610.960 ';10%;27%;63%;0%;;;;;
;'OMEGA GER';'NM';'ENERGIA ELÉTRICA';'BTG PACTUAL';'IPO';'ICVM 400';27/7/2017;15.60;31/07/17;' 776 ';' 1.017 ';' 538.538.504 ';' 250.637.962 ';' 789.176.466 ';4%;59%;25%;12%;;;;;
;'BAHEMA';'BÁSICO';'HOLDINGS DIVERSIFICADAS';'COINVALORES CCVM LTDA.';'FOLLOW-ON';'ICVM 476';31/3/2017;53.78;04/08/17;' 2 ';' 11 ';' 30.555.215 ';' - ';' 30.555.215 ';2%;76%;0%;22%;;;;;
;'MAGAZ LUIZA';'NM';'ELETRODOMÉSTICOS';'BOFA MERRILL LYNCH';'FOLLOW-ON';'ICVM 476';27/9/2017;65.00;29/09/17;' 71 ';' 155 ';' 1.144.000.000 ';' 416.000.000 ';' 1.560.000.000 ';0%;34%;66%;0%;;;;;
;'PARANAPANEMA';'NM';'ARTEFATOS DE COBRE';'MODAL';'FOLLOW-ON';'ICVM 476';13/9/2017;1.56;15/09/17;' - ';' 39 ';' - ';' 352.358.788 ';' 352.358.788 ';0%;0%;19%;81%;;;;;
;'AZUL ¹';'N2';'TRANSPORTE AÉREO';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';14/9/2017;27.96;19/09/17;' - ';' 145 ';' - ';' 1.249.622.012 ';' 1.249.622.012 ';0%;8%;92%;0%;;;;;
;'CAMIL';'NM';'ALIMENTOS DIVERSOS';'BOFA MERRILL LYNCH';'IPO';'ICVM 400';20/9/2017;9.00;28/09/17;' 2.573 ';' 2.940 ';' 369.000.000 ';' 778.500.000 ';' 1.147.500.000 ';9%;55%;35%;1%;;;;;
;'ENEVA';'NM';'ENERGIA ELÉTRICA';'BTG PACTUAL';'FOLLOW-ON';'ICVM 400';5/10/2017;11.00;06/10/17;' 261 ';' 426 ';' 834.482.759 ';' 41.724.133 ';' 876.206.892 ';2%;54%;31%;14%;;;;;
;'VULCABRAS';'NM';'CALÇADOS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';24/10/2017;9.50;25/10/17;' 1.030 ';' 1.288 ';' 574.997.000 ';' 111.460.432 ';' 686.457.432 ';10%;65%;25%;0%;;;;;
;'RUMO S.A.';'NM';'TRANSPORTE FERROVIÁRIO';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';4/10/2017;12.00;06/10/17;' - ';' 76 ';' 2.640.000.000 ';' - ';' 2.640.000.000 ';0%;18%;23%;59%;;;;;
;'IMC S/A';'NM';'RESTAURANTE E SIMILARES';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';9/11/2017;8.00;13/11/17;' - ';' 141 ';' - ';' 444.592.648 ';' 444.592.648 ';0%;60%;40%;0%;;;;;
;'BK BRASIL';'NM';'RESTAURANTE E SIMILARES';'ITAÚ BBA';'IPO';'ICVM 400';14/12/2017;18.00;18/12/17;' 3.281 ';' 3.672 ';' 886.153.842 ';' 1.096.968.060 ';' 1.983.121.902 ';10%;14%;76%;0%;;;;;
;'LE LIS BLANC';'NM';'TECIDOS. VESTUÁRIO E CALÇADOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';30/11/2017;30.00;04/12/17;' 1 ';' 40 ';' 148.140.000 ';' - ';' 148.140.000 ';31%;0%;1%;69%;;;;;
;'PETROBRAS BR';'NM';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'CITI';'IPO';'ICVM 400';13/12/2017;15.00;15/12/17;' 6.808 ';' 7.658 ';' 655.312.500 ';' 4.368.750.000 ';' 5.024.062.500 ';10%;24%;66%;1%;;;;;
;'SANEPAR';'N2';'ÁGUA E SANEAMENTO';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';12/12/2017;55.20;14/12/17;' - ';' 56 ';' - ';' 1.040.308.970 ';' 1.040.308.970 ';0%;43%;57%;0%;;;;;
;'INTERMEDICA';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'ITAÚ BBA';'IPO';'ICVM 400';19/4/2018;16.50;23/04/18;' 1.375 ';' 1.838 ';' 341.379.308 ';' 2.377.736.642 ';' 2.719.115.949 ';9%;21%;70%;0%;;;;;
;'HAPVIDA';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'BTG PACTUAL';'IPO';'ICVM 400';23/4/2018;23.50;25/04/18;' 4.374 ';' 5.099 ';' 2.631.026.466 ';' 800.747.178 ';' 3.431.773.644 ';10%;44%;46%;0%;;;;;
;'INTER BANCO';'N1';'BANCOS';'BRADESCO BBI';'IPO';'ICVM 400';26/4/2018;18.50;30/04/18;' 8.387 ';' 8.605 ';' 541.463.439 ';' 130.991.063 ';' 672.454.502 ';12%;28%;60%;0%;;;;;
;'INTERMEDICA';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';5/12/2018;26.00;07/12/18;' 15 ';' 337 ';' 312.000.000 ';' 2.741.700.000 ';' 3.053.700.000 ';0%;27%;73%;0%;;;;;
;'LOCAMERICA';'NM';'ALUGUEL DE CARROS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';13/12/2018;32.00;17/12/18;' 40 ';' 337 ';' 992.000.000 ';' 384.000.000 ';' 1.376.000.000 ';0%;60%;40%;0%;;;;;
;'LOCALIZA';'NM';'ALUGUEL DE CARROS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';31/1/2019;33.00;04/02/19;' 116 ';' 906 ';' 1.821.600.000 ';' - ';' 1.821.600.000 ';0%;54%;46%;0%;;;;;
;'IRBBRASIL RE';'NM';'SEGURADORAS';'CAIXA';'FOLLOW-ON';'ICVM 476';26/2/2019;91.00;28/02/19;' - ';' 64 ';' - ';' 2.516.733.128 ';' 2.516.733.128 ';0%;30%;70%;0%;;;;;
;'BK BRASIL';'NM';'RESTAURANTE E SIMILARES';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';22/3/2019;21.41;25/03/19;' - ';' 118 ';' - ';' 714.529.226 ';' 714.529.226 ';0%;16%;83%;1%;;;;;
;'ENEVA';'NM';'ENERGIA ELÉTRICA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';4/4/2019;18.25;08/04/19;' - ';' 258 ';' - ';' 1.106.794.409 ';' 1.106.794.409 ';0%;67%;32%;1%;;;;;
;'CENTAURO';'NM';'PRODUTOS DIVERSOS';'BRADESCO BBI';'IPO';'ICVM 400';15/4/2019;12.50;17/04/19;' 3.368 ';' 3.582 ';' 705.101.363 ';' - ';' 705.101.363 ';10%;50%;40%;0%;;;;;
;'TOTVS';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';22/5/2019;39.50;24/05/19;' - ';' 172 ';' 1.066.500.000 ';' - ';' 1.066.500.000 ';0%;55%;26%;20%;;;;;
;'BTGP BANCO';'N2';'BANCOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';11/6/2019;46.00;13/06/19;' - ';' 138 ';' - ';' 2.539.200.000 ';' 2.539.200.000 ';0%;67%;32%;0%;;;;;
;'CPFL ENERGIA';'NM';'ENERGIA ELÉTRICA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';12/6/2019;27.50;13/06/19;' 27 ';' 572 ';' 3.694.341.585 ';' - ';' 3.694.341.585 ';0%;51%;49%;0%;;;;;
;'INTERMEDICA';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';18/6/2019;39.50;21/06/19;' - ';' 267 ';' - ';' 2.666.250.000 ';' 2.666.250.000 ';0%;60%;40%;0%;;;;;
;'LINX¹';'NM';'PROGRAMAS E SERVIÇOS';'GOLDMAN SACHS';'FOLLOW-ON';'ICVM 400';25/6/2019;36.00;26/06/19;' 664 ';' 761 ';' 831.600.000 ';' 348.285.636 ';' 1.179.885.636 ';7%;7%;86%;0%;;;;;
;'PETROBRAS¹';'N2';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'CAIXA';'FOLLOW-ON';'ICVM 400';25/6/2019;30.25;27/06/19;' 13.251 ';' 13.694 ';' - ';' 7.300.546.223 ';' 7.300.546.223 ';21%;32%;46%;1%;;;;;
;'NEOENERGIA';'NM';'ENERGIA ELÉTRICA';'BB INVESTIMENTOS';'IPO';'ICVM 400';7/6/2019;15.65;28/06/19;' 21.595 ';' 22.695 ';' - ';' 3.744.278.776 ';' 3.744.278.776 ';16%;43%;39%;1%;;;;;
;'LIGHT S/A';'NM';'ENERGIA ELÉTRICA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';11/6/2019;18.75;02/07/19;' 144 ';' 664 ';' 1.875.000.000 ';' 624.999.994 ';' 2.499.999.994 ';1%;52%;47%;0%;;;;;
;'TECNISA';'NM';'INCORPORAÇÕES';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';17/7/2019;1.10;19/07/19;' 2 ';' 381 ';' 445.500.000 ';' - ';' 445.500.000 ';2%;67%;16%;15%;;;;;
;'IRBBRASIL RE';'NM';'SEGURADORAS';'BB INVESTIMENTOS';'FOLLOW-ON';'ICVM 476';18/7/2019;88.00;22/07/19;' - ';' 520 ';' - ';' 7.390.103.600 ';' 7.390.103.600 ';0%;27%;73%;0%;;;;;
;'HAPVIDA';'NM';'SERV. MÉD. HOSPIT.. ANÁLISES E DIAGNÓSTICOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';24/7/2019;42.50;26/07/19;' - ';' 474 ';' 2.664.495.000 ';' - ';' 2.664.495.000 ';0%;36%;53%;11%;;;;;
;'MOVIDA';'NM';'ALUGUEL DE CARROS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';25/7/2019;15.00;29/07/19;' - ';' 942 ';' 532.500.000 ';' 300.000.000 ';' 832.500.000 ';0%;49%;44%;7%;;;;;
;'BANCO INTER';'N2';'BANCOS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';29/7/2019;13.33;31/07/19;' - ';' 3.632 ';' 1.247.688.000 ';' - ';' 1.247.688.000 ';0%;65%;3%;32%;;;;;
;'PETROBRAS BR';'NM';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'JP MORGAN';'FOLLOW-ON';'ICVM 400';23/7/2019;24.50;25/07/19;' 7.348 ';' 8.282 ';' - ';' 9.633.093.750 ';' 9.633.093.750 ';10%;45%;45%;0%;;;;;
;'TRISUL';'NM';'INCORPORAÇÕES';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';12/9/2019;10.00;16/09/19;' - ';' 761 ';' 405.000.000 ';' - ';' 405.000.000 ';0%;82%;11%;7%;;;;;
;'BANCO PAN';'N1';'BANCOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';19/9/2019;8.25;23/09/19;' - ';' 671 ';' 521.812.500 ';' 521.812.500 ';' 1.043.625.000 ';0%;64%;33%;3%;;;;;
;'SINQIA';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';17/9/2019;62.00;19/09/19;' - ';' 1.797 ';' 362.700.000 ';' - ';' 362.700.000 ';0%;82%;12%;6%;;;;;
;'OMEGA GER';'NM';'ENERGIA ELÉTRICA';'BOFA MERRILL LYNCH';'FOLLOW-ON';'ICVM 476';25/9/2019;30.00;27/09/19;' 148 ';' 358 ';' 830.769.240 ';' - ';' 830.769.240 ';0%;65%;35%;0%;;;;;
;'EZTEC';'NM';'INCORPORAÇÕES';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';24/9/2019;36.25;26/09/19;' - ';' 889 ';' 978.750.000 ';' - ';' 978.750.000 ';0%;67%;20%;13%;;;;;
;'HELBOR';'NM';'INCORPORAÇÕES';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';10/9/2019;2.65;14/10/19;' - ';' 581 ';' 560.057.625 ';' - ';' 560.057.625 ';0%;47%;15%;37%;;;;;
;'VIVARA S.A.';'NM';'ACESSÓRIOS';'ITAÚ BBA';'IPO';'ICVM 400';8/10/2019;24.00;10/10/19;' 26.986 ';' 27.872 ';' 453.471.888 ';' 1.787.377.536 ';' 2.240.849.424 ';13%;56%;30%;0%;;;;;
;'BRASIL';'NM';'BANCOS';'CAIXA';'FOLLOW-ON';'ICVM 400';17/10/2019;44.05;21/10/19;' 29.222 ';' 30.039 ';' - ';' 5.836.921.765 ';' 5.836.921.765 ';32%;37%;30%;1%;;;;;
;'LOG COM PROP';'NM';'EXPLORAÇÃO DE IMÓVEIS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';22/10/2019;22.50;24/10/19;' - ';' 988 ';' 637.875.000 ';' - ';' 637.875.000 ';0%;38%;18%;44%;;;;;
;'CYRE COM-CCP';'NM';'EXPLORAÇÃO DE IMÓVEIS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 400';28/10/2019;19.00;30/10/19;' 1.087 ';' 1.329 ';' 863.550.000 ';' - ';' 863.550.000 ';9%;57%;28%;6%;;;;;
;'LOPES BRASIL';'NM';'INTERMEDIAÇÃO IMOBILIÁRIA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';29/10/2019;7.00;31/10/19;' 456 ';' 548 ';' 147.000.000 ';' - ';' 147.000.000 ';1%;73%;26%;0%;;;;;
;'BANCO BMG';'N1';'BANCOS';'XP INVESTIMENTOS';'IPO';'ICVM 400';24/10/2019;11.60;28/10/19;' 4.703 ';' 5.252 ';' 1.200.000.013 ';' 191.304.358 ';' 1.391.304.371 ';10%;61%;27%;1%;;;;;
;'CEA MODAS';'NM';'TECIDOS. VESTUÁRIO E CALÇADOS';'MORGAN STANLEY';'IPO';'ICVM 400';24/10/2019;16.50;28/10/19;' 4.247 ';' 4.724 ';' 813.698.622 ';' 941.070.009 ';' 1.754.768.631 ';10%;51%;39%;0%;;;;;
;'MAGAZ LUIZA';'NM';'ELETRODOMÉSTICOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';12/11/2019;43.00;14/11/19;' 2.870 ';' 3.803 ';' 4.300.000.000 ';' 430.000.000 ';' 4.730.000.000 ';0%;57%;42%;1%;;;;;
;'JHSF PART';'NM';'INCORPORAÇÕES';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';13/11/2019;4.75;18/11/19;' - ';' 1.619 ';' 513.000.000 ';' - ';' 513.000.000 ';0%;55%;39%;6%;;;;;
;'LOG-IN';'NM';'TRANSPORTE HIDROVIÁRIO';'GOLDMAN SACHS';'FOLLOW-ON';'ICVM 476';21/11/2019;14.50;25/11/19;' - ';' 421 ';' 633.650.000 ';' - ';' 633.650.000 ';0%;57%;35%;8%;;;;;
;'BR PROPERT';'NM';'EXPLORAÇÃO DE IMÓVEIS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';21/11/2019;12.50;25/11/19;' 51 ';' 299 ';' 1.054.687.500 ';' - ';' 1.054.687.500 ';0%;53%;46%;0%;;;;;
;'LOJAS MARISA';'NM';'TECIDOS. VESTUÁRIO E CALÇADOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';4/12/2019;10.00;06/12/19;' 130 ';' 374 ';' 567.708.330 ';' - ';' 567.708.330 ';0%;67%;30%;3%;;;;;
;'ALIANSCSONAE';'NM';'EXPLORAÇÃO DE IMÓVEIS';'BANK OF AMERICA';'FOLLOW-ON';'ICVM 476';5/12/2019;43.00;09/12/19;' - ';' 443 ';' 1.190.769.244 ';' - ';' 1.190.769.244 ';0%;50%;36%;14%;;;;;
;'INTERMEDICA';'NM';'SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';11/12/2019;57.00;13/12/19;' 662 ';' 1.376 ';' 3.705.000.000 ';' 1.296.750.000 ';' 5.001.750.000 ';0%;44%;55%;0%;;;;;
;'LOCAMERICA';'NM';'ALUGUEL DE CARROS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';17/12/2019;19.50;19/12/19;' 593 ';' 1.061 ';' 1.189.500.000 ';' 639.771.249 ';' 1.829.271.249 ';0%;48%;51%;1%;;;;;
;'MARFRIG';'NM';'CARNES E DERIVADOS';'SANTANDER';'FOLLOW-ON';'ICVM 476';17/12/2019;10.00;19/12/19;' 614 ';' 681 ';' 900.900.910 ';' 2.096.484.270 ';' 2.997.385.180 ';14%;40%;46%;0%;;;;;
;'LE LIS BLANC';'NM';'TECIDOS. VESTUÁRIO E CALÇADOS';'SANTANDER';'FOLLOW-ON';'ICVM 476';18/12/2019;15.00;20/12/19;' 121 ';' 141 ';' 258.750.000 ';' - ';' 258.750.000 ';30%;70%;0%;0%;;;;;
;'MINERVA';'NM';'CARNES E DERIVADOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';23/1/2020;13.00;27/01/20;' - ';' 1.226 ';' 1.040.000.000 ';' 195.000.000 ';' 1.235.000.000 ';0%;48%;43%;10%;;;;;
;'ANIMA';'NM';'SERVIÇOS EDUCACIONAIS';'XP INVESTIMENTOS';'FOLLOW-ON';'ICVM 476';29/1/2020;36.25;31/01/20;' 96 ';' 332 ';' 1.100.213.600 ';' - ';' 1.100.213.600 ';13%;57%;30%;0%;;;;;
;'POSITIVO TEC';'NM';'COMPUTADORES E EQUIPAMENTOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';30/1/2020;6.55;03/02/20;' - ';' 321 ';' 353.700.000 ';' - ';' 353.700.000 ';0%;82%;14%;4%;;;;;
;'MITRE REALTY';'NM';'INCORPORAÇÕES';'ITAÚ BBA';'IPO';'ICVM 400';3/2/2020;19.30;05/02/20;' 7.300 ';' 7.748 ';' 958.724.026 ';' 94.003.236 ';' 1.052.727.262 ';10%;43%;45%;2%;;;;;
;'LOCAWEB';'NM';'PROGRAMAS E SERVIÇOS';'ITAÚ BBA';'IPO';'ICVM 400';4/2/2020;17.25;06/02/20;' 3.180 ';' 3.704 ';' 574.999.994 ';' 750.144.989 ';' 1.325.144.983 ';10%;33%;55%;2%;;;;;
;'PETROBRAS';'N2';'EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';5/2/2020;30.00;07/02/20;' 53.097 ';' 55.292 ';' - ';' 22.026.080.970 ';' 22.026.080.970 ';17%;44%;39%;1%;;;;;
;'COGNA ON';'NM';'SERVIÇOS EDUCACIONAIS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';11/2/2020;11.00;13/02/20;' 1 ';' 2.042 ';' 2.555.938.044 ';' - ';' 2.555.938.044 ';0%;30%;45%;25%;;;;;
;'MOURA DUBEUX';'NM';'INCORPORAÇÕES';'ITAÚ BBA';'IPO';'ICVM 400';11/2/2020;19.00;13/02/20;' 4.678 ';' 4.948 ';' 1.104.867.005 ';' - ';' 1.104.867.005 ';10%;59%;31%;0%;;;;;
;'PRINER';'NM';'SERVIÇOS DIVERSOS';'XP INVESTIMENTOS';'IPO';'ICVM 400';13/2/2020;10.00;17/02/20;' 9.671 ';' 9.909 ';' 173.913.040 ';' 26.086.950 ';' 199.999.990 ';38%;57%;3%;3%;;;;;
;'ESTAPAR';'NM';'SERVIÇOS DIVERSOS';'BTG PACTUAL';'IPO';'ICVM 400';13/5/2020;10.50;15/05/20;' 1.104 ';' 1.178 ';' 300.300.000 ';' - ';' 300.300.000 ';10%;44%;6%;40%;;;;;
;'CENTAURO';'NM';'PRODUTOS DIVERSOS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';26/5/2020;30.00;08/06/20;' 344 ';' 770 ';' 900.000.000 ';' - ';' 900.000.000 ';0%;68%;32%;1%;;;;;
;'VIAVAREJO';'NM';'ELETRODOMÉSTICOS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';15/6/2020;15.00;17/06/20;' - ';' 14.556 ';' 4.455.000.000 ';' - ';' 4.455.000.000 ';0%;41%;28%;31%;;;;;
;'BTGP BANCO';'N2';'BANCOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';29/6/2020;24.80;01/07/20;' - ';' 2.556 ';' 2.650.500.000 ';' - ';' 2.650.500.000 ';0%;48%;12%;40%;;;;;
;'AURA 360';'BDR';'MINERAIS METÁLICOS';'CREDIT SUISSE';'IPO';'ICVM 476';2/7/2020;820.00;06/07/20;' - ';' 120 ';' 301.753.440 ';' 560.739.780 ';' 862.493.220 ';0%;81%;18%;0%;;;;;
;'JHSF PART';'NM';'INCORPORAÇÕES';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';15/7/2020;9.75;17/07/20;' - ';' 2.687 ';' 399.750.000 ';' 33.422.513 ';' 433.172.513 ';0%;84%;11%;5%;;;;;
;'LOJAS AMERIC 4 ';'N1';'PRODUTOS DIVERSOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';14/7/2020;32.40;16/07/20;' - ';' 2.073 ';' 7.873.740.000 ';' - ';' 7.873.740.000 ';0%;35%;18%;46%;;;;;
;'AMBIPAR';'NM';'ÁGUA E SANEAMENTO';'BRADESCO BBI';'IPO';'ICVM 400';9/7/2020;24.75;13/07/20;' 5.287 ';' 5.798 ';' 1.082.400.017 ';' - ';' 1.082.400.017 ';10%;60%;30%;0%;;;;;
;'IMC S/A';'NM';'RESTAURANTE E SIMILARES';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';21/7/2020;4.25;23/07/20;' - ';' 1.766 ';' 384.412.500 ';' - ';' 384.412.500 ';0%;71%;9%;19%;;;;;
;'IRANI';'BÁSICO';'PAPEL E CELULOSE';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';22/7/2020;4.50;24/07/20;' - ';' 105 ';' 405.000.000 ';' - ';' 405.000.000 ';0%;76%;23%;0%;;;;;
;'DIMED';'BÁSICO';'MEDICAMENTOS E OUTROS PRODUTOS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';22/7/2020;30.00;24/07/20;' - ';' 809 ';' 480.000.000 ';' 556.713.360 ';' 1.036.713.360 ';0%;56%;41%;3%;;;;;
;'GRUPO SOMA';'NM';'TECIDOS. VESTUÁRIO E CALÇADOS';'ITAÚ BBA';'IPO';'ICVM 400';29/7/2020;9.90;31/07/20;' 6.726 ';' 7.229 ';' 1.349.999.996 ';' 472.499.993 ';' 1.822.499.989 ';13%;72%;15%;0%;;;;;
;'D1000VFARMA';'NM';'MEDICAMENTOS E OUTROS PRODUTOS';'XP INVESTIMENTOS';'IPO';'ICVM 400';6/8/2020;17.00;10/08/20;' 6.213 ';' 6.526 ';' 400.115.485 ';' - ';' 400.115.485 ';32%;59%;7%;2%;;;;;
;'QUERO-QUERO';'NM';'PRODUTOS DIVERSOS';'BTG PACTUAL';'IPO';'ICVM 400';6/8/2020;12.65;10/08/20;' 10.049 ';' 10.844 ';' 279.867.259 ';' 1.951.899.023 ';' 2.231.766.282 ';10%;55%;35%;0%;;;;;
;'RUMO S.A.';'NM';'TRANSPORTE FERROVIÁRIO';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';24/8/2020;21.75;26/08/20;' - ';' 2.532 ';' 6.400.000.010 ';' - ';' 6.400.000.010 ';0%;18%;17%;65%;;;;;
;'BANCO INTER';'N2';'BANCOS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';3/9/2020;20.83;08/09/20;' - ';' 802 ';' 1.166.248.787 ';' - ';' 1.166.248.787 ';0%;44%;23%;33%;;;;;
;'OMEGA GER';'NM';'ENERGIA ELÉTRICA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';1/9/2020;38.25;03/09/20;' 141 ';' 382 ';' 896.963.533 ';' - ';' 896.963.533 ';0%;61%;38%;1%;;;;;
;'LAVVI';'NM';'INCORPORAÇÕES';'BTG PACTUAL';'IPO';'ICVM 400';31/8/2020;9.50;02/09/20;' 1.392 ';' 1.633 ';' 1.027.064.000 ';' - ';' 1.027.064.000 ';15%;71%;13%;0%;;;;;
;'PAGUE MENOS';'NM';'MEDICAMENTOS E OUTROS PRODUTOS';'ITAÚ BBA';'IPO';'ICVM 400';31/8/2020;8.50;02/09/20;' 10.193 ';' 10.569 ';' 858.963.097 ';' - ';' 858.963.097 ';10%;29%;48%;14%;;;;;
;'BANCO PAN';'N1';'BANCOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';27/8/2020;8.30;31/08/20;' - ';' 46 ';' - ';' 743.677.220 ';' 743.677.220 ';0%;29%;25%;47%;;;;;
;'PETZ';'NM';'PRODUTOS DIVERSOS';'ITAÚ BBA';'IPO';'ICVM 400';9/11/2020;13.75;11/09/20;' 37.928 ';' 39.168 ';' 336.734.695 ';' 2.693.877.533 ';' 3.030.612.228 ';13%;59%;28%;1%;;;;;
